n,p,base_deg,split_deg,lcm_deg,factor_degs,factor_mults,DFT_order
5,97,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",3773075507922571775273744352333525624409237957166570157859261440
5,101,1,21,21,"[3, 7]","[(3, 1), (7, 1)]",1104621053275842100
5,103,4,36*,9,"[1, 9]","[(1, 1), (9, 1)]",15924606197816866077338027147856489944976517923651215715779247119783760
5,107,4,16*,4,"[1, 1, 2, 2, 4]","[(1, 1), (1, 1), (2, 1), (2, 1), (4, 1)]",147608187428270363869834342639200
5,109,2,12*,6,"[1, 1, 2, 3, 3]","[(1, 1), (1, 1), (2, 1), (3, 1), (3, 1)]",19927303517000880
5,113,4,24*,6,"[1, 3, 6]","[(1, 1), (3, 1), (6, 1)]",18788090506095351190346404972544930679782531948160
5,127,4,36*,9,"[1, 9]","[(1, 1), (9, 1)]",1364187177395354275228772617130273611996161834221611334018956357014508755840
5,131,1,4,4,"[1, 1, 2, 2, 4]","[(1, 1), (1, 1), (2, 1), (2, 1), (4, 1)]",49083320
5,137,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",237169123733456945151181211498724054090008972581810727489314923367680
5,139,2,12*,6,"[2, 2, 6]","[(2, 1), (2, 1), (6, 1)]",17340289679096361826670640
5,149,2,18*,9,"[1, 9]","[(1, 1), (9, 1)]",3743559904192991725523621973861069828
5,151,1,21,21,"[3, 7]","[(3, 1), (7, 1)]",20542253867986884075
5,157,4,120*,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",18569015490823916795521197009668309599097260023835965432871975242396000
5,163,4,48*,12,"[4, 6]","[(4, 1), (6, 1)]",1581024987697345939253795151143228169611815696399777250304418890338880
5,167,4,48*,12,"[4, 6]","[(4, 1), (6, 1)]",66972587922495494308557685618096546574076776342982174660361097805952320
5,173,4,56*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",414453012407048066444372476511553014793951336810279822099499596781332960
5,179,2,60*,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",555450815448539215246725078559764600
5,181,1,10,10,"[1, 2, 2, 5]","[(1, 1), (2, 1), (2, 1), (5, 1)]",17678046285900
5,191,1,4,4,"[1, 1, 4, 4]","[(1, 1), (1, 1), (4, 1), (4, 1)]",665431680
5,193,4,84*,21,"[3, 7]","[(3, 1), (7, 1)]",3176229493874169590579285289861155400841526476237446269969636740141506906872208000
5,197,4,24*,6,"[2, 2, 6]","[(2, 1), (2, 1), (6, 1)]",3891062199543526179518855033377893815536855503959508960
5,199,2,16*,8,"[2, 8]","[(2, 1), (8, 1)]",6048521414077554721279117147524796800
5,211,1,12,12,"[1, 1, 1, 3, 4]","[(1, 1), (1, 1), (1, 1), (3, 1), (4, 1)]",130776030840
5,223,4,24*,6,"[1, 3, 6]","[(1, 1), (3, 1), (6, 1)]",114363310238171155661493453560870331240016456989007912320
5,227,4,24*,6,"[1, 1, 2, 6]","[(1, 1), (1, 1), (2, 1), (6, 1)]",350445568562838191433232769553739185938911412144156291040
5,229,2,12*,6,"[1, 1, 2, 6]","[(1, 1), (1, 1), (2, 1), (6, 1)]",214414451710339440565671120
5,233,4,84*,21,"[3, 7]","[(3, 1), (7, 1)]",1398401596271074820045526347499269861647736578591931110281431171577172446538704339960
5,239,2,60*,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",113339585830291559204109825782226225600
5,241,1,6,6,"[1, 1, 2, 6]","[(1, 1), (1, 1), (2, 1), (6, 1)]",195930594145440
5,251,1,9,9,"[1, 9]","[(1, 1), (9, 1)]",3954244264165377252250
5,257,4,56*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",43725893431123956901548371901850916522804404429720226191685489860119143475200
5,263,4,36*,9,"[1, 9]","[(1, 1), (9, 1)]",1313430041929347432597530892827790047423316824301001150002499837006296632951145040748640
5,269,2,20*,10,"[1, 2, 2, 5]","[(1, 1), (2, 1), (2, 1), (5, 1)]",71779985472224375265625021800
5,271,1,10,10,[10],"[(10, 1)]",1068225431427690818871600
5,277,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",180410837699131016026985867281123851833290074404341037207433407833147001525040
5,281,1,8,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",9718305963155877360
5,283,4,16*,4,"[1, 1, 4, 4]","[(1, 1), (1, 1), (4, 1), (4, 1)]",1692711592175902223835081059133144262080
5,293,4,32*,8,"[2, 8]","[(2, 1), (8, 1)]",1450816883574216153898534758906333177737541848526723078589358449251477315054400
5,307,4,56*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",38763949160854220307708060629116840048128531672575297723249476862204402284236000
5,311,1,9,9,"[1, 9]","[(1, 1), (9, 1)]",13608601773825254483195
5,313,4,36*,9,"[1, 9]","[(1, 1), (9, 1)]",36378312614938734521490945499304725033915347153288495310081893667118443760033404897692960
5,317,4,24*,6,"[1, 1, 2, 6]","[(1, 1), (1, 1), (2, 1), (6, 1)]",1060284208499655577816207095588979849716073503241731188010720
5,331,1,30,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",144959967196960469400
5,337,4,24*,6,"[1, 3, 6]","[(1, 1), (3, 1), (6, 1)]",575476553430335880076010202854782296111457550960673552286320
